Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
none,0,0,0,0,0,0,1,0,0,0,0,0,0,9.046276646,0,44.1,29.9,17.8,8.3,0.89,899,1,900,2,5,0,0.1,1.5,177.8,0,0.857973429,6.8,67.72345,72.14562,69.81534,58.51063,44.71568,-0.6,-0.49,0.49,72.14562,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,4.243117392,0,33.56643357,57.64235764,7.292707293,1.498501499,0.88,1004.7,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,18.31936,22.75756,27.19576,21.63145,10.86716,-0.7,-0.59,0.59,27.19576,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.404145078,4.117975289,4,37.16283716,45.15484515,8.791208791,8.891108891,0.87,895.8,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,18.31936,22.75756,27.19576,21.63145,10.86716,-0.7,-0.59,0.59,27.19576,0,0,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.488518807,4.972270336,4,37.56243756,39.56043956,2.097902098,20.77922078,0.91,829,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,0.01,36.10528,99.26684,97.7764,80.32168,-0.7,-0.59,0.59,99.26684,1,1,1
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,2.502516899,5.268708951,4,27.47252747,33.66633367,7.292707293,31.56843157,0.88,665.1,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,0.01,9.74105,56.34215,49.2874,34.25051,-0.7,-0.59,0.59,56.34215,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,2.8,3.03,4,33.99339934,11.55115512,48.51485149,5.940594059,1.017,634,1,800,2.5,5,0,0.1,1,177.8,1,1,6.8,31.15248,66.81707,81.84856,86.26793,93.78367,-0.9,-0.79,0.79,93.78367,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,3.01,2.58,4,31.78294574,10.07751938,50.7751938,7.364341085,0.992,628,1,800,2.5,5,0,0.1,1,177.8,1,1,6.8,30.39246,55.64198,78.78033,90.71544,93.33329,-1,-0.89,0.89,95.92298,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,2.72,1.71,4,24.56140351,11.11111111,50.29239766,14.03508772,0.847,732,1,800,2.5,5,0,0.1,1,177.8,1,1,6.8,31.9125,63.777,86.57756,88.88577,92.23548,-0.9,-0.79,0.79,92.23548,1,0,1
none,0,0,0,0,0,0,0,0,1,0,0,0,0,6.04,0,32.45033113,9.105960265,58.44370861,0,0.926,1286,1,800,2,5,0,0.1,0.5,177.8,1,1,6.8,22.7071,50.42693,41.03667,26.60645,12.17623,-0.6,-0.49,0.49,50.42693,0,0,0
none,0,0,0,0,0,0,0,0,1,0,0,0,0,4.52,0,36.28318584,11.28318584,52.43362832,0,0.959,1511,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,44.93601,61.9658,67.88113,51.72671,35.57229,-0.7,-0.59,0.59,67.88113,0,0,1
none,0,0,0,0,0,0,0,0,1,0,0,0,0,3.35,0,18.50746269,4.47761194,77.01492537,0,0.969,1013,1,1000,2,5,0,0.1,0.5,177.8,1,1,6.8,57.9073,72.33753,73.21289,60.2416,47.27031,-0.7,-0.59,0.59,73.21289,0,0,1
none,0,0,0,0,0,0,0,0,1,0,0,0,0,4.54,0,32.37885463,6.167400881,61.45374449,0,0.979,1382,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,57.27876,70.95719,67.86851,58.26506,48.66161,-0.6,-0.49,0.49,70.95719,0,0,0
none,0,0,0,0,0,0,0,0,1,0,0,0,0,2.56,0,34.765625,14.453125,50.78125,0,1.008,832,1,900,2,5,0,0.1,0.5,177.8,1,1,6.8,69.84111,80.56063,82.97447,78.87354,74.77261,-0.7,-0.59,0.59,82.97447,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,3.247183565,0,21.95121951,8.710801394,61.32404181,8.013937282,1.05,75.6,1,1000,3,5,0,0.5,0.35,177.8,1,1,7.3,40.19909,34.15612,19.4918,8.91255,4.89518,-0.54,-0.43,0.43,41.57,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,2.965526163,0,25.19083969,6.488549618,50.76335878,17.55725191,1,487.5,1,1000,3,5,0,0.5,0.35,177.8,1,1,7.3,82.89031,78.56986,65.71232,54.69499,42.01504,-0.54,-0.43,0.43,86.34,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,20.87067862,4.494238156,64.50704225,10.12804097,1.003142154,1510,1,900,2,5,0,0.1,0.900386034,177.8,1,2,6.8,74.55803,93.6064,86.39821,64.7476,41.37951,-0.6,-0.49,0.49,93.6064,1,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9,0,42.10499159,8.347522781,49.54748563,0,0.64,723.2472469,0,750,1.547704851,7.695328683,0,0.1,0.5,50,1,3.8,6.8,0.01,2.26237,20.8837,39.50503,58.12636,-0.98,-0.87,0.87,59.42,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9,0,22.51481752,6.498751939,70.98643055,0,0.78,749.30033,0,850,1.550922805,7.111327689,0,0.1,0.5,50,1,3.8,6.8,0.01,0.86183,14.00447,33.58036,64.68715,-1.1,-0.99,0.99,78.6,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,3.9,0,16.54620315,9.869425612,73.58437124,0,0.72,737.1886996,0,950,1.621032894,7.998993737,0,0.1,0.5,50,1,3.8,6.8,0.01,0.22157,4.17274,8.12391,12.07508,-0.98,-0.87,0.87,16.69,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8,0,31.80551191,25.94593499,42.2485531,0,0.62,727.1162977,0,850,1.302028925,8.90381144,0,0.1,0.5,50,1,3.8,6.8,0.01,0.01,3.62825,23.71424,43.80023,-0.98,-0.87,0.87,44.61,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4,0,14.51544803,53.2304148,32.25413717,0,0.65,758.2584324,0,850,1.653916755,7.731552465,0,0.1,0.5,50,1,3.8,6.8,0.01,0.01,0.01,0.01,0.41506,-1.13,-1.02,1.02,9.79,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,3.13531,0,39.67709732,26.00125665,16.19457087,16.19457087,0.99,726,0,600,0.5,1,0,0.1,0.8,177.8,1,1,6.8,27.53108,26.26203,26.26203,25.18526,23.45473,-0.5,-0.39,0.39,27.53108,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,3.44277,0,39.3680089,32.60978805,14.74829861,14.74829861,1.05,807,0,600,0.5,1,0,0.1,0.8,177.8,1,1,6.8,36.60672,34.22244,33.14567,33.37641,32.0689,-0.5,-0.39,0.39,36.60672,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,4.30034,0,39.13085942,32.40627485,14.86045289,14.86045289,1.07,1118,0,600,0.5,1,0,0.1,0.8,177.8,1,1,6.8,52.75828,52.33526,50.83547,50.83547,49.98944,-0.5,-0.39,0.39,52.75828,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,9.692433714,9.692433714,1.11,1223,0,600,0.5,1,0,0.1,0.8,177.8,1,1,6.8,65.71798,65.06423,63.56444,62.25693,60.10339,-0.5,-0.39,0.39,65.71798,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,9.692433714,9.692433714,1.11,1223,0,600,0.5,1,0,0.1,1.2,177.8,1,1,6.8,33.96586983,38.87987995,39.54556337,29.9120781,14.78186771,-0.7,-0.59,0.59,39.54556337,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,9.692433714,9.692433714,1.11,1223,0,600,0.5,1,0,0.1,1.6,177.8,1,1,6.8,38.43329591,44.42733185,39.15675305,34.2942594,27.29233103,-0.7,-0.59,0.59,39.15675305,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,0,0,5.53019,0,45.42484074,33.94476501,9.692433714,9.692433714,1.11,1223,0,600,0.5,1,0,0.1,2,177.8,1,1,6.8,16.21851324,28.53433514,29.5705544,24.10685641,12.47653007,-0.7,-0.59,0.59,29.5705544,0,0,1
none,0,0,0,0,0,0,0,0,0,0,0,1,0,4.55,0,23.73626374,38.68131868,34.28571429,3.076923077,1.33,802,0,1000,2,5,0,0.1,0.2,177.8,0,1,6.8,53.2961,77.88626,55.43659,31.7383,31.43252,-0.6,-0.49,0.49,77.88626,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9,0,24.35897436,28.97435897,32.56410256,14.1025641,1.23,974,0,1100,2,5,0,0.1,0.2,177.8,0,1,6.8,51.71621,92.58939,68.30502,50.44211,42.87395,-0.6,-0.49,0.49,92.58939,1,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,1.65,0,18.78787879,15.75757576,30.3030303,35.15151515,1.13,148,0,1200,2,5,0,0.1,0.2,177.8,0,1,6.8,37.29339,38.59297,25.01105,24.73075,12.01521,-0.6,-0.49,0.49,38.59297,0,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,1.16,0,5.172413793,0,70.68965517,24.13793103,0.97,15,0,1100,2,5,0,0.1,0.2,177.8,0,1,6.8,12.44841,16.29619,11.73491,9.28864,3.58066,-0.6,-0.49,0.49,16.29619,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,4.943806424,12.26278941,4,47.78,16.73,23.27,12.22,0.94,310.6,1,700,2,2,0,0.5,0.2,177.8,0,0.19625,7.3,26.49391,53.25968,71.04144,72.34257,49.19617,-0.77,-0.66,0.66,77.21,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,3.727039057,8.184439847,4,47.8,14.82,26.4,10.98,0.96,333.9,1,800,2,2,0,0.5,0.2,177.8,0,0.19625,7.3,48.95942,86.72303,95.79489,97.82047,96.80847,-0.77,-0.66,0.66,97.96,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.723524824,6.306607453,4,42.32,15.78,27.93,13.96,1.02,314.4,1,900,2,2,0,0.5,0.2,177.8,0,0.19625,7.3,73.88519,94.25006,98.13544,98.03437,97.71768,-0.67,-0.56,0.56,98.13,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.099893798,3.908537959,4,33.54,6.66,47.43,12.38,1.03,369.4,1,1000,2,2,0,0.5,0.2,177.8,0,0.19625,7.3,33.22784,74.08011,93.70822,99.40959,99.50316,-0.87,-0.76,0.76,99.78,1,1,1
none,0,0,0,0,0,0,0,0,0,0,0,1,0,4.071082391,0,26.7,61.4,9.2,2.7,0.99,1269,0,700,1.5,4,0,0.5,0.07,177.8,0,0.42,7.2,37.72735,53.53316,68.86283,81.39772,62.65353,-0.81,-0.7,0.7,83.77,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,1,0,12.59,0,43,0,52,5,1.11,126,0,900,1,2.596581592,0,0.1,0.8,127,1,1,6.8,19.35314,48.93048,66.98798,73.95399,51.45537,-0.7,-0.59,0.59,66.98798,0,0,1
none,0,0,0,0,0,0,0,1,0,0,0,1,0,20.02,0,55,0,39,6,1.28,90,0,800,1,2.09677988,0,0.1,0.8,127,1,1,6.8,65.61282,73.81873,63.71915,57.51963,42.21245,-0.6,-0.49,0.49,73.81873,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,1,0,13.8,0,52,0,44,4,1.2,160,0,900,1,2.221962136,0,0.1,0.8,127,1,1,6.8,88.99064,90.77159,71.42909,47.64549,31.23367,-0.6,-0.49,0.49,90.77159,1,0,0
none,0,0,0,0,0,0,0,1,0,0,0,1,0,7.22,0,45,0,50,5,1.17,119,0,1000,1,2.873079387,0,0.1,0.8,127,1,1,6.8,83.94085,85.94724,70.66261,47.53277,30.33192,-0.6,-0.49,0.49,85.94724,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,2.9,3.953571223,3.6,31.28190584,25.68065797,26.53148043,16.50595576,1.01,265,1,900,2,3.982585154,0,0.5,1,177.8,1,1,7.3,68.26233,81.53216,94.80199,96.00834,82.7385,-0.8,-0.69,0.69,96.00834,1,1,1
none,0,0,0,0,0,0,0,0,0,0,1,0,0,4.465892361,0,33.33333333,33.33333333,22.30769231,11.02564103,1.181401152,1494,0,950,0.5,10,0,0.1,5,177.8,0,1,6.8,11.08922,16.68955,22.72823,18.96484,15.52028,-0.65,-0.54,0.54,23.91,0,0,1
none,0,0,0,0,0,0,0,0,0,0,1,0,0,4.149895473,0,34.21052632,32.89473684,17.89473684,15,1.189310958,1440,1,950,0.5,10,0,0.1,5,177.8,0,1,6.8,11.91159,14.00289,18.5973,22.09164,15.72152,-0.75,-0.64,0.64,24.44,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.856793146,10.70991432,4.4,52.17496108,27.93663213,16.04675929,3.841647501,1.01,1050,1,900,4,2,0,0.1,4,177.8,1,12.5,6.8,54.55074,67.70694,81.17637,81.12273,76.12496,-0.73,-0.62,0.62,84.61,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.888072271,9.324758842,3.9,54.85955922,25.42427045,16.09110816,3.625062169,0.99,614,0,900,4,2,0,0.1,4,177.8,1,12.5,6.8,27.34273,40.18272,53.02271,53.75858,50.00259,-0.73,-0.62,0.62,56.49,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,11.2415071,0,54.4189648,21.24721642,18.77473834,5.55908045,1,1347,1,900,4,2,0,0.1,4,177.8,1,12.5,6.8,1.30839,13.75214,30.3438,48.17033,66.93045,-0.93,-0.82,0.82,71.62,0,0,1
none,0,0,0,0,0,1,0,0,0,0,0,0,0,9.471094711,0,60.25630676,16.30081848,17.65388496,5.788989797,0.98,732,0,900,4,2,0,0.1,4,177.8,1,12.5,6.8,0.85492,4.4728,9.187,19.09887,30.27286,-0.93,-0.82,0.82,33.18,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.856793146,10.70991432,4.4,52.17496108,27.93663213,16.04675929,3.841647501,1.01,1050,1,900,4,2,0,0.5,4,177.8,1,12.5,7.3,51.54802,64.78445,78.02089,78.4425,73.68296,-0.73,-0.62,0.62,81.83,0,0,1
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,0.888072271,9.324758842,3.9,54.85955922,25.42427045,16.09110816,3.625062169,0.99,614,0,900,4,2,0,0.5,4,177.8,1,12.5,7.3,34.92395,45.35038,56.28542,53.66008,47.35202,-0.73,-0.62,0.62,56.28542,0,0,1
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,0.8,5.5,4,50.7,13.3,26.3,9.7,1.41,525.9,1,900,2,5,0,0.1,0.57,50.8,0,0.5,6.8,86.15128,77.77865,49.13925,18.65489,4.32931,-0.55,-0.44,0.44,86.63,0,0,0
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,0.3,4.03,4,39.6,8,35.9,16.5,1.16,732.7,1,900,2,5,0,0.1,0.57,50.8,0,0.5,6.8,97.47969,96.79489,87.815,64.44532,32.79827,-0.55,-0.44,0.44,98.78,1,1,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,9.046223958,0,23.42158859,18.73727088,57.84114053,0,1.05,497.7209627,0,900,2,5,0,0.1,0.4,177.8,0,0.785,6.8,11.6822,15.44728,13.68187,7.54053,1.39919,-0.58,-0.47,0.47,15.5,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,1.215180107,11.54421102,4,25.80645161,24.78005865,49.41348974,0,1.04,493.8541556,0,900,2,5,0,0.1,0.4,177.8,0,0.785,6.8,68.42411,87.18801,72.15809,60.08072,48.00335,-0.58,-0.47,0.47,90.07,1,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,4.100807592,6.159067341,12,36.50793651,27.24867725,36.24338624,0,1.24,591.6938944,0,900,2,5,0,0.1,0.4,177.8,0,0.785,6.8,51.49279,59.79495,42.66758,21.57818,0.48878,-0.58,-0.47,0.47,62.05,0,0,0
none,0,0,0,0,0,0,0,1,0,0,0,0,0,4.788117651,0,49.52380952,8.333333333,20.71428571,21.42857143,0.836,160,1,800,2,2,0,0.1,2,177.8,1,1,6.8,38.90166,43.95732,26.16006,10.66191,7.23787,-0.56,-0.45,0.45,48.75,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.488689824,2.650319005,4,65.38461538,14.52991453,6.837606838,13.24786325,0.911,160,1,800,2,2,0,0.1,2,177.8,1,1,6.8,68.59444,69.16311,52.80818,34.28698,25.05613,-0.56,-0.45,0.45,73.8,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.704145045,3.161637517,4,68.68327402,7.829181495,11.03202847,12.45551601,0.94,169,1,800,2,2,0,0.1,2,177.8,1,1,6.8,61.49866,58.47828,47.42301,30.01406,21.97999,-0.46,-0.35,0.35,62.15,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,2.349903163,2.598450613,4,79.03930131,6.113537118,6.550218341,8.296943231,0.931,153,1,800,2,2,0,0.1,2,177.8,1,1,6.8,72.237,89.00712,93.32182,89.21277,77.574,-0.66,-0.55,0.55,95.8,1,1,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.948629971,2.311165779,4,74.01960784,11.2745098,9.31372549,5.392156863,0.931,160,1,800,2,2,0,0.1,2,177.8,1,1,6.8,55.50006,69.11826,71.01899,53.75106,37.00437,-0.66,-0.55,0.55,78.68,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,3.049132022,3.519953879,4,69.32907348,7.348242812,10.86261981,12.4600639,0.931,160,1,800,2,2,0,0.1,2,177.8,1,1,6.8,63.81284,84.03778,86.9323,80.3532,71.23055,-0.66,-0.55,0.55,90.16,1,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,2.364327238,3.86,4,47.66839378,8.29015544,37.56476684,6.476683938,1.37,868.5081209,1,850,3,2,0,0.1,0.3,127,1,1,6.8,15.81286,46.54305,32.18882,16.44184,8.62452,-0.6,-0.49,0.49,46.54305,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,2.981510761,4.64,4,48.81209503,20.95032397,25.05399568,5.183585313,1.45,867.3964733,1,850,3,2,0,0.1,0.3,127,1,1,6.8,61.90814,68.46751,54.85458,33.0649,20.73239,-0.6,-0.49,0.49,68.46751,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,16.37848842,12.41013219,12,54.82,43.18,0,0,1.34,22.5,0,650,2,3,0,0.5,0.3,177.8,0,0.5,7.3,0.01,0.85303,1.98494,1.95435,1.12571,-0.74,-0.63,0.63,2.91,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,1.663482073,4.540856468,12,46.83,9.04,26.98,17.08,1.21,545.5,0,750,2,3,0,0.5,0.3,177.8,0,0.5,7.3,0.01,26.97215,42.53717,39.48326,27.47437,-0.74,-0.63,0.63,44.68,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,0.98339719,3.173690932,12,48.24,15.14,28.17,8.45,1.23,469.6,0,850,2,3,0,0.5,0.3,177.8,0,0.5,7.3,0.01,16.63423,29.47838,26.02954,16.96935,-0.65,-0.54,0.54,30,0,0,1
none,0,0,0,0,0,0,0,0,0,1,0,0,0,7.218857423,0,19.2,22.1,40.5,18.2,0.54,456.6164371,0,1060,1.39573702,8.389331113,0,0.1,1.562001189,177.8,1,2.636190344,6.8,56.02718,65.26646,45.81403,34.47719,17.39701,-0.6,-0.49,0.49,65.26646,0,0,0
none,0,0,0,0,0,0,0,0,0,1,0,0,0,7.852381727,0,9.8,55.9,24.9,9.4,0.63,473.9422623,0,1060,1.730116869,7.920847189,0,0.1,1.41035047,177.8,1,2.389628174,6.8,88.14243,81.92488,45.07911,30.99499,16.74868,-0.5,-0.39,0.39,88.14243,0,0,0
none,0,0,0,0,0,0,0,0,1,0,1,0,0,4.198005368,0,41,14,40,5,2.74,1055.836909,1,800,3,5,0,0.5,1.239311071,177.8,0,0.503,7.2,12.5908,23.74617,30.0615,32.56199,32.40602,-0.86,-0.75,0.75,34.72,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,1,0,2.896536118,4.469264713,4,46,6,46,2,3.32,1123.035709,1,800,3,5,0,0.5,0.931975985,177.8,0,0.503,7.2,78.66333,64.95915,41.88723,17.83053,2.39624,-0.46,-0.35,0.35,81.74,0,0,0
Co,58.93,27,7.81,1.88,7,0,0,0,1,0,1,0,7.381115826,3.036070894,4,48,10,39,3,3.01,1056.73628,1,800,3,5,0,0.5,1.291540442,177.8,0,0.503,7.2,53.96864,46.00493,37.54816,29.02949,22.51169,-0.46,-0.35,0.35,80.59,0,0,0
Cu,63.546,29,7.69,1.9,10,0,0,0,1,0,1,0,1.055565635,1.974237601,4,55,19,23,3,2.92,1213.553672,1,800,3,5,0,0.5,1.771739035,177.8,0,0.503,7.2,8.30534,10.63444,11.61049,9.62866,6.93821,-0.66,-0.55,0.55,12.27,0,0,1
none,0,0,0,0,0,0,1,0,0,0,0,0,0,5.163621961,0,33.23,32.31,22.15,12.31,1.03,1000,1,910,3,2,0,0.5,1,177.8,1,1,7.3,58.29672,79.99908,69.43616,57.98493,38.12518,-0.56,-0.45,0.45,84.92,0,0,0
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,0.61,4.409684529,3.3,55.23,2.6,42.17,0,1.05,1094,1,910,3,2,0,0.5,1,177.8,1,1,7.3,17.00369,15.58416,9.56789,5.09889,2.3906,-0.56,-0.45,0.45,18.93,0,0,0
none,0,0,0,0,0,0,1,0,0,0,0,0,0,5.163621961,0,33.23,32.31,22.15,12.31,1.03,1000,1,910,3,2,0,0.1,1,177.8,1,1,6.8,29.05675,73.09419,84.6569,82.83161,83.30806,-0.66,-0.55,0.55,86.33,0,0,1
none,0,0,0,0,0,0,1,0,0,0,0,0,0,5.163621961,0,33.23,32.31,22.15,12.31,1.03,1000,1,910,3,2,0,1,1,177.8,1,1,8.8,42.36971,57.5736,55.33448,45.09399,28.28917,-0.56,-0.45,0.45,57.57,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1,0.25,4,35.93206,10.67799,28.32936,25.06059,1.754061917,947.8462306,0,850,2,7.011123953,0,0.1,1.414,177.8,0,0.70685,6.8,-1.91267,6.50602,14.92471,65.94306,32.74783,-0.8,-0.69,0.69,65.94306,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1,0.54,4,40.1734,7.66749,23.10336,29.05575,1.644115078,926.6043544,0,900,2,6.913061896,0,0.1,1.414,177.8,0,0.70685,6.8,-14.48743,18.54795,51.58333,87.81568,64.05152,-0.8,-0.69,0.69,87.81568,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1,1.45,4,54.23719,15.32941,15.32941,15.10398,1.534502868,953.8692465,0,950,2,6.003049765,0,0.1,1.414,177.8,0,0.70685,6.8,14.4718,43.32448,72.17716,91.01265,85.07161,-0.8,-0.69,0.69,91.01265,1,0,1
